Temperature °C;Resistance value (ohms);R/R25;deltaR/R (%);alpha (%/K);dT (K);Rmin (ohms);Rmax (ohms)
-40.0;334274.4;33.4274;3.90;-6.63;0.59;321238.0;347310.8
-39.0;312904.4;31.2904;3.86;-6.58;0.59;300817.9;324991.0
-38.0;293033.6;29.3034;3.83;-6.54;0.59;281822.7;304244.4
-37.0;274548.0;27.4548;3.79;-6.49;0.58;264144.8;284951.2
-36.0;257343.1;25.7343;3.75;-6.45;0.58;247685.3;267001.0
-35.0;241322.9;24.1323;3.72;-6.41;0.58;232353.0;250292.7
-34.0;226398.8;22.6399;3.68;-6.36;0.58;218064.5;234733.2
-33.0;212489.7;21.2490;3.65;-6.32;0.58;204742.6;220236.8
-32.0;199520.6;19.9521;3.61;-6.28;0.58;192316.3;206724.9
-31.0;187422.7;18.7423;3.58;-6.23;0.57;180720.5;194125.0
-30.0;176132.5;17.6133;3.54;-6.19;0.57;169894.8;182370.3
-29.0;165591.5;16.5591;3.51;-6.15;0.57;159783.7;171399.2
-28.0;155745.6;15.5746;3.47;-6.11;0.57;150336.0;161155.1
-27.0;146545.1;14.6545;3.44;-6.07;0.57;141504.5;151585.8
-26.0;137944.1;13.7944;3.41;-6.03;0.57;133245.3;142642.8
-25.0;129900.0;12.9900;3.37;-5.99;0.56;125518.3;134281.7
-24.0;122373.7;12.2374;3.34;-5.95;0.56;118286.1;126461.3
-23.0;115329.0;11.5329;3.31;-5.91;0.56;111514.3;119143.6
-22.0;108732.2;10.8732;3.28;-5.87;0.56;105170.9;112293.6
-21.0;102552.5;10.2553;3.24;-5.83;0.56;99226.5;105878.5
-20.0;96761.1;9.6761;3.21;-5.79;0.55;93653.8;99868.5
-19.0;91331.5;9.1332;3.18;-5.76;0.55;88427.3;94235.7
-18.0;86239.0;8.6239;3.15;-5.72;0.55;83523.8;88954.3
-17.0;81460.9;8.1461;3.12;-5.68;0.55;78921.4;84000.4
-16.0;76976.0;7.6976;3.09;-5.64;0.55;74600.1;79351.9
-15.0;72764.6;7.2765;3.06;-5.61;0.54;70540.9;74988.2
-14.0;68808.6;6.8809;3.03;-5.57;0.54;66726.7;70890.5
-13.0;65091.1;6.5091;3.00;-5.54;0.54;63141.3;67040.9
-12.0;61596.4;6.1596;2.97;-5.50;0.54;59769.7;63423.1
-11.0;58309.9;5.8310;2.94;-5.47;0.54;56598.0;60021.8
-10.0;55218.1;5.5218;2.91;-5.43;0.54;53613.2;56823.0
-9.0;52308.4;5.2308;2.88;-5.40;0.53;50803.4;53813.4
-8.0;49569.0;4.9569;2.85;-5.36;0.53;48157.2;50980.8
-7.0;46989.1;4.6989;2.82;-5.33;0.53;45664.3;48313.9
-6.0;44558.56;4.45586;2.79;-5.29;0.53;43315.0;45802.1
-5.0;42267.85;4.22678;2.76;-5.26;0.53;41100.2;43435.5
-4.0;40108.20;4.01082;2.73;-5.23;0.52;39011.5;41204.9
-3.0;38071.41;3.80714;2.71;-5.20;0.52;37041.1;39101.8
-2.0;36149.83;3.61498;2.68;-5.16;0.52;35181.5;37118.1
-1.0;34336.32;3.43363;2.65;-5.13;0.52;33426.0;35246.6
0.0;32624.23;3.26242;2.62;-5.10;0.51;31768.3;33480.2
1.0;31007.34;3.10073;2.60;-5.07;0.51;30202.2;31812.5
2.0;29479.85;2.94799;2.57;-5.04;0.51;28722.3;30237.4
3.0;28036.35;2.80363;2.54;-5.01;0.51;27323.4;28749.3
4.0;26671.76;2.66718;2.52;-4.97;0.51;26000.6;27342.9
5.0;25381.36;2.53814;2.49;-4.94;0.50;24749.4;26013.4
6.0;24160.73;2.41607;2.46;-4.91;0.50;23565.4;24756.0
